timestamp,coin,price,market_cap,volume,market_cap_rank,ath,atl,log_return_1d,volatility_7d,volatility_14d,rsi_14,volume_to_marketcap,circulating_supply_history,distance_from_ath,distance_from_atl,has_max_supply,ma_7,ma_14,ma_30,price_to_ma7,price_to_ma30,macd,macd_signal,macd_histogram,momentum_5d,momentum_10d,momentum_acceleration
2025-02-12,bitcoin,95739.98,1898788887978.0,36454577155.0,1,126080.0,67.81,,0.0,0.0,50.0,0.01919885743265545,19832769.0,-0.2406410215736041,1410.8858575431352,1,95739.98,95739.98,95739.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-13,bitcoin,97836.19,1936842454814.0,47115618235.0,1,126080.0,67.81,0.02165857442707928,0.0,0.0,50.0,0.024325994155020025,19796789.0,-0.22401499048223347,1441.798849727179,1,97836.19,97836.19,97836.19,0.0,0.0,167.2190313390456,33.44380626780912,133.7752250712365,0.0,0.0,0.0
2025-02-14,bitcoin,96561.66,1914315097486.0,29084371911.0,1,126080.0,67.81,-0.013112781467217022,0.0,0.0,50.0,0.015193095404824128,19824795.0,-0.2341238895939086,1423.003244359239,1,96561.66,96561.66,96561.66,0.0,0.0,194.65355411077326,65.68575583640195,128.96779827437132,0.0,0.0,0.0
2025-02-15,bitcoin,97488.48,1931656846871.0,32289906945.0,1,126080.0,67.81,0.009552449151830483,0.0,0.0,50.0,0.016716171403479297,19814206.0,-0.22677284263959394,1436.67113994986,1,97488.48,97488.48,97488.48,0.0,0.0,287.8639231870766,110.12138930653688,177.7425338805397,0.0,0.0,0.0
2025-02-16,bitcoin,97569.95,1934308378710.0,14215311318.0,1,126080.0,67.81,0.0008353394901971008,0.0,0.0,50.0,0.007349040863629129,19824837.0,-0.22612666560913708,1437.87258516443,1,97569.95,97569.95,97569.95,0.0,0.0,364.11052091707825,160.91921562864516,203.19130528843309,0.0,0.0,0.0
2025-02-17,bitcoin,96149.35,1905012222220.0,13634794999.0,1,126080.0,67.81,-0.014666844925601939,0.0,0.0,50.0,0.007157326782455356,19813054.0,-0.2373941148477157,1416.9228727326354,1,96149.35,96149.35,96149.35,0.0,0.0,306.374259640972,190.01022443111054,116.36403520986147,0.004275852157061388,0.0,0.0
2025-02-18,bitcoin,95776.16,1898997753782.0,25324374113.0,1,126080.0,67.81,-0.0038889095079833237,0.0,0.0,50.0,0.013335652484351054,19827458.0,-0.24035406091370556,1411.4194071670845,1,96731.68142857144,95776.16,95776.16,-0.009878060780707174,0.0,227.8777100982552,197.58372156453947,30.29398853371572,-0.021055909883653467,0.0,0.0
2025-02-19,bitcoin,95495.89,1892702154845.0,38311133145.0,1,126080.0,67.81,-0.0029305923221771553,0.01272060890313053,0.0,50.0,0.02024150130908338,19819724.0,-0.24257701459390862,1407.286240967409,1,96696.81142857144,95495.89,95495.89,-0.01241945221180891,0.0,141.42294666622183,186.35156658487597,-44.928619918654135,-0.011037196336517008,0.0,0.0
2025-02-20,bitcoin,96554.87,1914337919660.0,27703222487.0,1,126080.0,67.81,0.011028237877525219,0.009995955309507915,0.0,50.0,0.014471437985160054,19826425.0,-0.23417774428934013,1422.903111635452,1,96513.7657142857,96554.87,96554.87,0.0004258903940809051,0.0,156.5531126762653,180.39187580315385,-23.83876312688855,-0.009576618693818983,0.0,0.0
2025-02-21,bitcoin,98384.32,1950376106325.0,24175261970.0,1,126080.0,67.81,0.018769993978324552,0.011215734029566863,0.0,50.0,0.012395179520298926,19824054.0,-0.21966751269035528,1449.8821707712727,1,96774.14571428571,98384.32,98384.32,0.016638475843208645,0.0,312.5621816280036,206.8259369681238,105.73624465987979,0.008346524724057058,0.0,0.0
2025-02-22,bitcoin,96135.16,1906058197506.0,42477472951.0,1,126080.0,67.81,-0.023126323818093656,0.014261669019363854,0.0,50.0,0.022285506815363797,19826858.0,-0.2375066624365482,1416.7136115617166,1,96580.8142857143,96135.16,96135.16,-0.0046143148513525314,0.0,251.80937603031634,215.82262478056234,35.98675124975401,-0.00014758290097649507,0.004127638213419438,-0.004275221114395933
2025-02-23,bitcoin,96564.15,1915260330871.0,18464415571.0,1,126080.0,67.81,0.004452436375594804,0.014445733791983384,0.0,50.0,0.009640681881926185,19834072.0,-0.23410414022842643,1423.03996460699,1,96437.12857142858,96564.15,96564.15,0.0013171423750691182,0.0,235.56282604890293,219.7706650342305,15.792161014672445,0.008227412750730245,-0.013001732794378107,0.021229145545108352
2025-02-24,bitcoin,96327.46,1909625674815.0,16643044375.0,1,126080.0,67.81,-0.002454125597203089,0.013277996592053004,0.0,50.0,0.008715343846962226,19824313.0,-0.2359814403553299,1419.5494764783955,1,96462.57285714286,96327.46,96327.46,-0.001400676481467614,0.0,201.26831736204622,216.07019549979364,-14.801878137747423,0.008707914026457209,-0.0024253932668514278,0.011133307293308636
2025-02-25,bitcoin,91396.77,1814176779160.0,45539703844.0,1,126080.0,67.81,-0.05254329006034353,0.024121407380906228,0.0,50.0,0.02510213137282343,19849463.0,-0.27508907043147207,1346.8361598584281,1,95836.94571428571,96284.31357142857,91396.77,-0.04633052192129538,0.0,-221.22565175002092,128.61102604983074,-349.83667779985166,-0.05342143798650434,-0.062486459938651095,0.009065021952146757
