timestamp,price,volume,coin,spy_return,dxy_return,vix,vix_change,fear_greed,fear_greed_cat,log_return_1d,volatility_7d,volatility_14d,volatility_21d,rsi_14,ma_7,ma_14,ma_30,ma_50,price_to_ma7,price_to_ma30,price_to_ma50,macd,macd_signal,macd_histogram,momentum_5d,momentum_10d,momentum_acceleration,bb_width,bb_pct,spy_return_ma7,spy_return_std7,dxy_return_ma7,vix_ma14,vix_regime,fear_greed_ma7,fear_greed_lag1,fear_greed_lag7,bull_bear_flag,volatility_regime,log_price,log_volume
2018-02-08,8265.59,9346750464,btc,-0.03823,-0.000332,33.46,5.7258,30,1,0.08115415526318191,0.10076688407186783,0.08002029768714453,0.07518847334434664,31.35294989641946,8125.547142857143,9433.683571428572,11035.419,12645.951400000002,0.0172348833476357,-0.2509944570296787,-0.34638448792393756,-1428.0338827245541,-1278.8156608644529,-149.21822186010127,-0.09910941905697168,-0.26829875004426185,0.16918933098729017,0.6711999692412957,0.31552207671038973,-0.018987285714285713,0.020923177234144635,0.004194142857142856,19.235714285714288,1,23.428571428571427,36,30,0,1,9.019856393067263,22.95829457588239
2018-02-09,8736.98,6784820224,btc,0.01491,0.002325,29.06,-4.4,44,1,0.05546347811295489,0.1033603730003381,0.0826327200546014,0.07658086976806659,35.52828690185187,8112.151428571428,9259.796428571428,10827.541666666666,12504.633,0.07702378055072934,-0.1930781456240067,-0.3013005659582333,-1337.8040416221356,-1290.6133370159894,-47.190704606146255,0.05557200003382845,-0.13549172298467294,0.19106372301850139,0.6520238573874609,0.4134066980720138,-0.013713000000000001,0.024398902372852756,0.003675,20.520000000000003,1,27.571428571428573,30,15,0,1,9.075319871180218,22.63795363378789
2018-02-10,8621.9,7780960256,btc,0.01491,0.002325,29.06,-4.4,54,2,-0.013259114177465676,0.10188101175949912,0.08179448184152813,0.07157090920587458,32.93030905660102,8033.15,9058.453571428572,10668.078333333333,12400.435,0.07329005433733965,-0.19180383471124993,-0.3047098750971236,-1261.045687007736,-1284.6998070143388,23.654120006602852,0.2396211793359566,-0.15646065491972494,0.39608183425568155,0.6086817036035828,0.4208240586901529,-0.008438714285714287,0.026228317754634876,0.003155857142857143,21.804285714285715,1,29.571428571428573,44,40,0,1,9.062060757002753,22.774945593741403
2018-02-11,8129.97,6122189824,btc,0.01491,0.002325,29.06,-4.4,31,1,-0.058748244504604065,0.09628854613537599,0.08105260288553433,0.0694056369127675,28.244082222330647,8012.144285714286,8797.287142857143,10473.057333333334,12269.0504,0.014705890219151294,-0.22372524648326192,-0.337359474862048,-1225.7787631701558,-1272.9155982455022,47.136835075346426,0.04848723239618269,-0.11346878155484852,0.1619560139510312,0.5224987255252119,0.3548228459066124,-0.003164428571428573,0.02675133625233914,0.002636714285714286,23.08857142857143,1,30.571428571428573,54,24,0,0,9.003312512498148,22.53518568384943
2018-02-12,8926.57,6256439808,btc,0.014577,-0.002546,25.61,-3.45,42,1,0.09347498904342391,0.06486829510077773,0.0869265497173644,0.07266945664475526,36.39556498047594,8293.75857142857,8628.013571428572,10291.936333333333,12169.0658,0.07629971660272594,-0.13266369797792182,-0.2664539623082653,-1120.632554885211,-1242.4589895734441,121.82643468823312,0.17126605697190755,0.010850720493729371,0.16041533647817818,0.41738179622887667,0.5829052634359756,0.005021142857142856,0.020715275043862127,0.0017135714285714282,23.929285714285715,1,35.0,31,11,0,1,9.096787501541572,22.556877139508646
2018-02-13,8598.31,5696719872,btc,0.002484,-0.00567,24.97,-0.64,35,1,-0.0374665502388194,0.060831122017233355,0.08289754849385657,0.07291368146432498,40.39243469296999,8414.374285714284,8520.3,10119.48,12060.5,0.021859701986159174,-0.15032096510887913,-0.28706852949711875,-1051.668288509427,-1204.3008493606408,152.63256085121384,0.040253629807430524,-0.06284530311468994,0.10309893292212047,0.37262791165614767,0.5245708402761367,0.0025887142857142845,0.0197053287777214,0.0008397142857142854,24.65642857142857,1,38.857142857142854,42,8,0,1,9.059320951302752,22.463156385093022
2018-02-14,9494.63,7909819904,btc,0.013406,-0.006487,19.26,-4.6464,55,2,0.09916070330653602,0.06628610748092029,0.08793275827618567,0.075924734018519,45.790751438388305,8681.992857142857,8468.409285714286,9975.307666666666,11928.396600000002,0.09360030078676791,-0.048186750998457074,-0.20403132806633897,-914.1503215368393,-1146.2707437958804,232.1204222590411,0.08671760722812683,0.1471086781337705,-0.06039107090564366,0.3264328496247312,0.8712317227034717,0.005280999999999999,0.019713001183652035,-0.0011514285714285717,25.064999999999998,0,41.57142857142857,35,36,0,1,9.158481654609288,22.791370850325183
2018-02-15,10166.4,9062540288,btc,0.01268,-0.005965,19.13,-0.13,71,3,0.06836178946590872,0.06484639947647146,0.08460656858971163,0.07775638691012046,56.03503234892723,8953.537142857142,8539.542142857143,9931.171,11814.9546,0.13546186694612006,0.02368592787295671,-0.13953118364077333,-742.4021671106038,-1065.4970284588253,323.09486134822146,0.1791368491863743,0.4616830115868973,-0.282546162400523,0.37938804182049557,1.0021475927412795,0.012553857142857141,0.004525693627448044,-0.0019561428571428572,25.469285714285714,0,47.42857142857143,55,30,0,1,9.226843444075197,22.927415302689738
2018-02-16,10233.9,7296159744,btc,0.000293,0.00574,19.46,0.33,67,3,0.006617573891699458,0.06422069707718572,0.08361157057321669,0.07779268733212001,58.7934628251134,9167.382857142857,8639.767142857143,9899.347666666668,11727.5026,0.11633823518411862,0.03379539183777172,-0.1273589655823227,-593.9966083195577,-971.1969444309718,377.2003361114141,0.2587869327931098,0.3198220273407273,-0.06103509454761746,0.4292240782968933,0.9298712486636885,0.010465714285714285,0.006286841303184658,-0.0014682857142857143,25.622857142857146,0,50.714285714285715,71,44,0,1,9.233461017966896,22.7106139842156
2018-02-17,11112.7,8660880384,btc,0.000293,0.00574,19.46,0.33,74,3,0.08238285944358728,0.06548376448035502,0.08554688706143979,0.07986836918919685,61.38134455380648,9523.211428571429,8778.180714285714,9887.274333333333,11656.6326,0.16690678174589368,0.12393968502879961,-0.04666292733632182,-400.8515510522757,-857.1278657552326,456.27631470295694,0.24490145711062605,0.4581108209885454,-0.21320936387791933,0.5169990342273165,1.0144026732924845,0.008377571428571427,0.0069564873525159426,-0.0009804285714285715,25.77642857142857,0,53.57142857142857,67,54,0,1,9.315843877410483,22.882082215323607
