timestamp,coin,price,volume,log_return_1d,volatility_7d,volatility_14d,rsi_14,ma_7,ma_14,ma_30,price_to_ma7,price_to_ma30,macd,macd_signal,macd_histogram,momentum_5d,momentum_10d,momentum_acceleration
2017-01-01,btc,998.33,147775008,0.0,0.0,0.0,50.0,998.33,998.33,998.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,btc,1021.75,222184992,0.023188239466684447,0.0,0.0,50.0,1021.75,1021.75,1021.75,0.0,0.0,1.8682621082621154,0.3736524216524231,1.4946096866096923,0.0,0.0,0.0
2017-01-03,btc,1043.84,185168000,0.021389377548207637,0.0,0.0,50.0,1043.84,1043.84,1043.84,0.0,0.0,5.072874733159551,1.3134968839538488,3.759377849205703,0.0,0.0,0.0
2017-01-04,btc,1154.73,344945984,0.1009603294019484,0.0,0.0,50.0,1154.73,1154.73,1154.73,0.0,0.0,16.37172650784396,4.325142808731871,12.046583699112087,0.0,0.0,0.0
2017-01-05,btc,1013.38,510199008,-0.13057527209119596,0.0,0.0,50.0,1013.38,1013.38,1013.38,0.0,0.0,13.761747396752185,6.212463726335935,7.54928367041625,0.0,0.0,0.0
2017-01-06,btc,902.2,351876000,-0.11621033232905119,0.0,0.0,50.0,902.2,902.2,902.2,0.0,0.0,2.6910031086119943,5.508171602791147,-2.8171684941791524,-0.0962908056454278,0.0,0.0
2017-01-07,btc,908.59,279550016,0.007057722347232227,0.0,0.0,50.0,1006.1171428571428,908.59,908.59,-0.09693418261435038,0.0,-5.503580058547755,3.3058212705233663,-8.809401329071122,-0.11075116222167847,0.0,0.0
2017-01-08,btc,911.2,158715008,0.0028684648114447034,0.0822694734656754,0.0,50.0,993.6700000000001,911.2,911.2,-0.08299536063280569,0.0,-11.652913536424421,0.31407430913380896,-11.96698784555823,-0.12706928264868167,0.0,0.0
2017-01-09,btc,902.83,141876992,-0.009228137790431622,0.08078896489184045,0.0,50.0,976.6814285714287,902.83,902.83,-0.0756146542885018,0.0,-17.005662973092285,-3.14987314731141,-13.855789825780874,-0.21814623331861127,0.0,0.0
2017-01-10,btc,907.68,115808000,0.005357619235716209,0.07971704276285055,0.0,50.0,957.2300000000001,907.68,907.68,-0.051763943879736506,0.0,-20.61872121580234,-6.6436427610095965,-13.975078454792742,-0.10430440703388666,0.0,0.0
2017-01-11,btc,777.76,310928992,-0.15447390028111163,0.07334454652118973,0.0,50.0,903.3771428571429,777.76,777.76,-0.1390528240064267,0.0,-33.578482275295414,-12.03061066386676,-21.547871611428654,-0.13792950565284867,-0.2209389680766881,0.08300946242383944
2017-01-12,btc,804.83,222326000,0.034213081695532103,0.07202429413288661,0.0,50.0,873.5842857142858,804.83,804.83,-0.07870366584956234,0.0,-41.19005025894046,-17.8624985828815,-23.32755167605896,-0.11419892360690742,-0.21230242231465624,0.09810349870774882
2017-01-13,btc,823.98,168968000,0.023515182777568023,0.06400863732797311,0.0,50.0,862.41,823.98,823.98,-0.04456117160051478,0.0,-45.15649183861751,-23.321297234028705,-21.835194604588807,-0.09571992976294996,-0.2106261496014714,0.11490621983852145
2017-01-14,btc,818.41,93063296,-0.006782824243647894,0.0634991274903864,0.0,50.0,849.527142857143,927.8221428571429,818.41,-0.036628780044024645,0.0,-48.193829351599675,-28.2958036575429,-19.898025694056773,-0.0935059756543315,-0.29125423259116856,0.19774825693683706
2017-01-15,btc,821.8,71013600,0.004133622922711628,0.06356001137509672,0.07063396306839732,35.677079107505065,836.7557142857142,915.2128571428572,821.8,-0.017873453422999383,0.0,-49.7538649603282,-32.587415918099964,-17.166449042228237,-0.09461484223514893,-0.18905050425309367,0.09443566201794473
2017-01-16,btc,831.53,82755200,0.01177032090745228,0.06435473060778105,0.0702376049280661,34.21567976633031,826.5699999999999,901.6257142857143,831.53,0.006000701694956309,0.0,-49.632937132861116,-35.996520161052196,-13.63641697180892,0.06913443735856828,-0.07833074706273557,0.14746518442130385
2017-01-17,btc,907.94,155095008,0.08791091976604476,0.07473914273619578,0.0749592702770239,39.65564486664232,826.6071428571429,891.9185714285715,907.94,0.09839360553035215,0.0,-42.87719097592401,-37.372654324026556,-5.504536651897453,0.1281140116546351,-0.000715394182194351,0.12882940583682945
2017-01-18,btc,886.62,225676992,-0.02376181697920879,0.03597816871419362,0.06783514192913219,26.3700622234757,842.1585714285715,872.7678571428571,886.62,0.05279460434156441,0.0,-38.79633924640427,-37.6573913085021,-1.1389479379021736,0.07602126265200604,-0.026975417032484628,0.10299667968449067
2017-01-19,btc,899.07,105625000,0.013944415590415711,0.03533273638303788,0.06008216988211862,36.963116717228175,855.6214285714286,864.602857142857,899.07,0.05078013473916201,0.0,-34.16380482303248,-36.95867401140818,2.7948691883756993,0.09855695800393449,-0.004164682166077793,0.10272164017001228
2017-01-20,btc,895.03,86728400,-0.0045036584678528665,0.03589804207259366,0.051487382152326046,48.917801189362144,865.7714285714285,864.0907142857143,895.03,0.03379479902316686,0.0,-30.46727437938739,-35.66039408500402,5.193119705616631,0.08910927232903387,-0.013936629649215604,0.10304590197824948
2017-01-21,btc,921.79,111158000,0.029460194621200007,0.035378377434284236,0.05208730545260711,51.876919576839946,880.54,865.0335714285715,921.79,0.04684625343539192,0.0,-25.08922603317683,-33.54616047463858,8.456934441461755,0.10854689548182272,0.1851856613865459,-0.07663876590472318
2017-01-22,btc,924.67,116573000,0.0031194852154769045,0.03544183572348062,0.05208803009618538,51.9138416072291,895.2357142857143,865.9957142857144,924.67,0.03287881084790117,0.0,-20.359994696024046,-30.90892731891568,10.548932622891634,0.018426327730907133,0.14890101015121204,-0.1304746824203049
2017-01-23,btc,921.01,73588600,-0.003966023143174666,0.03630616186027764,0.052027122454450875,52.61808755760368,908.0185714285715,867.2942857142856,921.01,0.014307448085548848,0.0,-16.714699549297166,-28.070081764991976,11.35538221569481,0.03878775574654303,0.11775771256583889,-0.07896995681929586
2017-01-24,btc,892.69,111349000,-0.031231517808635565,0.02084520461868406,0.05272859811959636,47.977985809480145,905.84,866.2235714285714,892.69,-0.014516912479024967,0.0,-15.927363470815408,-25.641538106156663,9.714174635341255,-0.007096221651261891,0.09076135433340271,-0.0978575759846646
2017-01-25,btc,901.54,120831000,0.009865036001625489,0.01889019160207532,0.0288776703557201,74.79567307692307,907.9714285714284,875.0649999999999,901.54,-0.007083293999181723,0.0,-14.423013398263606,-23.397833164578053,8.974819766314447,0.007273499212316903,0.09703090776344614,-0.08975740855112924
2017-01-26,btc,917.59,131958000,0.017646255608356032,0.01931481159710967,0.028163993634876566,73.6314862939056,910.6171428571428,883.1192857142858,917.59,0.007657287365554421,0.0,-11.799684841155795,-21.078203499893604,9.27851865873781,-0.004556352314518453,0.10349596526884186,-0.10805231758336031
2017-01-27,btc,919.75,125594000,0.002351226223875243,0.01904805360326161,0.02791296576337844,71.60972968094225,914.1485714285715,889.96,919.75,0.006127481622243289,0.0,-9.437593409334454,-18.750081481781773,9.31248807244732,-0.005320817156390878,0.01300746745379655,-0.01832828461018743
2017-01-28,btc,921.59,68979600,0.001998545203429414,0.015379061662209977,0.02765624105583181,73.68034517580098,914.12,897.33,921.59,0.008171793637596843,0.0,-7.332620425322602,-16.46658927048994,9.133968845167338,0.0006297434338389252,0.0394419255148768,-0.03881218208103787
2017-01-29,btc,919.5,60851700,-0.0022703951439374203,0.015329886141487196,0.027786335701266963,72.55725895825637,913.3814285714286,904.3085714285716,919.5,0.006698813044777052,0.0,-5.766586088272561,-14.326588634046466,8.560002545773905,0.03003282214430536,0.022723480930294526,0.007309341214010834
2017-01-30,btc,920.38,78227296,0.0009565841979953505,0.015273300688636998,0.027824452484032366,71.38799287468103,913.2914285714286,910.655,913.0670000000001,0.007761565702701671,0.008009269856428799,-4.403720598124778,-12.342015026862128,7.9382944287373505,0.0208975752601106,0.02832307296962111,-0.007425497709510509
2017-01-31,btc,970.4,164582000,0.05292172938746913,0.019277426653767978,0.020675096838521676,67.22369291859692,924.3928571428571,915.1164285714285,912.136,0.049770119383379066,0.06387643947832342,0.7044357898613498,-9.732724863517435,10.437160653378784,0.057552937586503816,0.05273435381160563,0.0048185837748981886
2017-02-01,btc,989.02,150110000,0.019006196235316845,0.019423754439255737,0.01924829009813297,78.66420333669241,936.8900000000001,922.4307142857143,911.045,0.05564153742701905,0.08558852746022427,6.183880985122755,-6.5494036937893965,12.733284678912153,0.07531394400652358,0.06959239512474724,0.005721548881776339
2017-02-02,btc,1011.8,145820992,0.022771647992678497,0.01971243320709799,0.019606050365230356,79.83064302725587,950.3485714285715,930.482857142857,909.9770000000001,0.06466198868385119,0.11189623473999877,12.223630001522793,-2.794796954726959,15.018426956249751,0.09788517670547625,0.09857656268661574,-0.0006913859811394918
2017-02-03,btc,1029.91,201278000,0.017740496907333248,0.019048655053521345,0.01937661537915641,83.21840212786921,966.0857142857143,940.1171428571428,905.8163333333333,0.06606482713749158,0.13699649929032717,18.26099883201823,1.416362202622079,16.844636629396152,0.12007612833061465,0.15371517548085012,-0.03363904715023547
