timestamp,coin,price,log_return_1d,volume,market_cap,volume_to_marketcap,volatility_7d,rsi_14,distance_from_ath
2025-02-16,bitcoin,97569.95,0.0008353394901971008,14215311318.0,1934308378710.0,0.007349040863629129,0.013478723036435197,41.79429117522377,-0.22612666560913708
2025-02-17,bitcoin,96149.35,-0.014666844925601939,13634794999.0,1905012222220.0,0.007157326782455356,0.01482244851597902,45.882964629885485,-0.2373941148477157
2025-02-18,bitcoin,95776.16,-0.0038889095079833237,25324374113.0,1898997753782.0,0.013335652484351054,0.014249821413387306,29.242476414474922,-0.24035406091370556
2025-02-19,bitcoin,95495.89,-0.0029305923221771553,38311133145.0,1892702154845.0,0.02024150130908338,0.012720608903130532,37.67530342378005,-0.24257701459390862
2025-02-20,bitcoin,96554.87,0.011028237877525219,27703222487.0,1914337919660.0,0.014471437985160054,0.009995955309507917,49.86214483353076,-0.23417774428934013
2025-02-21,bitcoin,98384.32,0.018769993978324552,24175261970.0,1950376106325.0,0.012395179520298926,0.011215734029566863,57.323849055592454,-0.21966751269035528
2025-02-22,bitcoin,96135.16,-0.023126323818093656,42477472951.0,1906058197506.0,0.022285506815363797,0.014261669019363854,48.500208333923844,-0.2375066624365482
2025-02-23,bitcoin,96564.15,0.004452436375594804,18464415571.0,1915260330871.0,0.009640681881926185,0.014445733791983384,50.02032222591297,-0.23410414022842643
2025-02-24,bitcoin,96327.46,-0.002454125597203089,16643044375.0,1909625674815.0,0.008715343846962226,0.013277996592053004,49.251342112818755,-0.2359814403553299
2025-02-25,bitcoin,91396.77,-0.05254329006034353,45539703844.0,1814176779160.0,0.02510213137282343,0.024121407380906228,34.07387363009066,-0.27508907043147207
2025-02-26,bitcoin,88755.77,-0.029321698340462832,96742453403.0,1759750360550.0,0.054975100770977364,0.025461782908831658,32.388056314161005,-0.2960360881979695
2025-02-27,bitcoin,83900.11,-0.05626151576978271,69277430796.0,1664314955448.0,0.041625192737243605,0.028517507672898956,19.15090204759268,-0.33454861992385787
2025-02-28,bitcoin,84709.14,0.009596581550735157,81960688218.0,1679555320077.0,0.04879904057833741,0.02658020285902465,23.21101166259828,-0.32813182106598987
2025-03-01,bitcoin,84441.9,-0.0031597821964160612,80695237175.0,1674754437110.0,0.04818332490239573,0.027419598195645743,19.60599037759954,-0.3302514276649747
2025-03-02,bitcoin,86005.26,0.018344733262593338,30634474723.0,1705564098301.0,0.017961491305730798,0.02976271455671783,24.798348697345872,-0.31785168147208126
2025-03-03,bitcoin,94261.53,0.0916646958895685,61859112551.0,1868321705444.0,0.03310945452849588,0.05092444407803833,46.83038739448447,-0.2523673064720812
2025-03-04,bitcoin,86124.71,-0.09027679093409186,68715362745.0,1708198960874.0,0.04022679109337579,0.058469020544243355,37.14634794043514,-0.31690426713197967
2025-03-05,bitcoin,87310.81,0.01367791893819279,65863356680.0,1731441668070.0,0.03803960473783471,0.05817341558437705,39.35604783840804,-0.3074967480964467
2025-03-06,bitcoin,90604.08,0.03702496408004874,51606642860.0,1797706868228.0,0.028706928683466998,0.05432105691028473,42.68652358080245,-0.281376269035533
2025-03-07,bitcoin,90001.4,-0.006674019382722084,47555759125.0,1782785866812.0,0.026674969782007417,0.054736721753648424,39.37713397078739,-0.2861564086294417
2025-03-08,bitcoin,86773.34,-0.03652579413370046,63216440875.0,1720436931689.0,0.03674441051026421,0.05732870890033028,38.42386436197967,-0.3117596763959391
2025-03-09,bitcoin,86142.98,-0.007290957757956979,18809360803.0,1708605516770.0,0.011008603576651087,0.05706971964246959,37.17780468796717,-0.3167593591370559
2025-03-10,bitcoin,80751.14,-0.06463639422300509,32013406241.0,1602073794580.0,0.01998247917749172,0.04453203465472032,32.99245420307919,-0.3595245875634518
2025-03-11,bitcoin,78783.94,-0.024662910664427842,49983692766.0,1563547150148.0,0.031968139087630784,0.03327186142800407,35.275324669866535,-0.37512737944162433
2025-03-12,bitcoin,82799.11,0.049708143555431045,56404462275.0,1642997419532.0,0.034330219636660504,0.040119728135760944,43.262163298196995,-0.3432811706852792
2025-03-13,bitcoin,83884.25,0.013020559829393923,41782186209.0,1662502658718.0,0.025132101888618544,0.03653774448488439,49.9803870842643,-0.334674413071066
2025-03-14,bitcoin,81098.9,-0.03376847484303636,32583592655.0,1608477373718.0,0.020257414364295925,0.037426332261109224,45.743530950843756,-0.3567663388324874
2025-03-15,bitcoin,83971.71,0.034810558876450425,28571483950.0,1665725559906.0,0.017152575813036298,0.04016201793710129,49.47773413991914,-0.3339807265228426
2025-03-16,bitcoin,84391.69,0.0049889806348128,10761796127.0,1674173293916.0,0.006428125550747175,0.04029736230904785,48.16100822752135,-0.33064966687817254
2025-03-17,bitcoin,82610.62,-0.02133069334788964,21638031633.0,1638672153484.0,0.013204613007547073,0.03164022856491825,34.42218855835607,-0.3447761738578681
2025-03-18,bitcoin,84075.37,0.01757541475833351,19659366247.0,1667799227887.0,0.011787609634468545,0.02937586373117696,46.664896051202014,-0.3331585501269036
2025-03-19,bitcoin,82780.03,-0.0155268097223405,24557570269.0,1642578274106.0,0.014950624062263248,0.024329261270094323,42.65271452488275,-0.34343250317258883
2025-03-20,bitcoin,86815.44,0.04759763730493314,33871216993.0,1721565138141.0,0.019674664781824752,0.030218532629827967,44.000600472016615,-0.3114257614213198
2025-03-21,bitcoin,84270.84,-0.029748588337121837,27579127651.0,1672550706503.0,0.016489262504132355,0.02938783755525259,41.451283942395946,-0.33160818527918784
2025-03-22,bitcoin,84009.53,-0.0031056529056789402,18091004976.0,1666749159154.0,0.010854065758270753,0.026425981943061654,45.476628239367635,-0.33368075824873095
2025-03-23,bitcoin,83793.31,-0.0025770734233733243,7771134682.0,1662574363664.0,0.0046741576508336664,0.026345594284980744,46.10158085677055,-0.335395701142132
2025-03-24,bitcoin,85787.71,0.02352258477517657,12617587531.0,1702009594329.0,0.007413346888901854,0.02603409078745742,59.41811042027021,-0.3195771732233502
2025-03-25,bitcoin,87327.73,0.017792296588448442,27270889835.0,1732715331970.0,0.01573881718008147,0.026051131585847872,66.23580424885324,-0.3073625475888325
2025-03-26,bitcoin,87520.58,0.0022059129791018274,30351832943.0,1735368473904.0,0.017490137339373525,0.02448991622456032,60.49717087052702,-0.30583296319796954
2025-03-27,bitcoin,86960.86,-0.006415833339916977,25522877559.0,1724854479046.0,0.014797119333288018,0.017401013003829225,57.00381035547989,-0.310272366751269
2025-03-28,bitcoin,87227.27,0.0030588790146310663,24620445368.0,1729729987159.0,0.014233692860027201,0.011340931104995866,65.7583046239912,-0.30815934327411165
2025-03-29,bitcoin,84359.47,-0.03342993839064865,31674486232.0,1673182800974.0,0.018930678831722104,0.018470684660067852,50.99733125924644,-0.33090521890862945
2025-03-30,bitcoin,82679.17,-0.020119376932705917,16837439420.0,1640665503855.0,0.010262566854997442,0.02009153130808231,45.863518226877034,-0.3442324714467005
2025-03-31,bitcoin,82356.38,-0.003911768241558569,13428975108.0,1633996304187.0,0.008218485607090542,0.016691148631991802,49.33935906603917,-0.3467926713197969
2025-04-01,bitcoin,82514.09,0.0019131388186478596,30326148750.0,1635076581047.0,0.018547234485238023,0.013768589103320877,45.647364242191756,-0.34554179885786807
2025-04-02,bitcoin,85237.59,0.03247346708267523,29172899852.0,1690602036035.0,0.017255923765725337,0.02060159751124977,56.346007651691046,-0.3239404346446701
2025-04-03,bitcoin,82526.42,-0.03232404922129152,46332905658.0,1637358764747.0,0.0282973448797944,0.02330483037134318,38.11168148657338,-0.3454440038071066
2025-04-04,bitcoin,83163.99,0.007695957138581002,36594464539.0,1652537223075.0,0.022144411652589548,0.023716498009828096,46.569347318986104,-0.34038713515228425
2025-04-05,bitcoin,83852.01,0.008239017722570345,35647289400.0,1664234880198.0,0.021419626414607363,0.02099615087300685,49.524352476797375,-0.33493012373096454
2025-04-06,bitcoin,83595.89,-0.0030591031566627076,14910400036.0,1656020067997.0,0.009003755645325314,0.019310748000081486,49.40530340912789,-0.3369615323604061
2025-04-07,bitcoin,78211.48,-0.06657791635690301,36140377232.0,1555325260787.0,0.023236539740705324,0.03238098322537606,31.048423609905512,-0.3796678299492386
2025-04-08,bitcoin,79179.29,0.01229833488114248,82909748173.0,1581407565278.0,0.052427818099140724,0.03310733692134906,29.016366762154036,-0.37199167195431476
2025-04-09,bitcoin,76329.09,-0.03666065090562077,47812787635.0,1515042499757.0,0.03155871049338139,0.029912044962535977,24.649523660239183,-0.39459795368020306
2025-04-10,bitcoin,82622.17,0.07922392262929775,87408220482.0,1640567909122.0,0.053279245556362965,0.04535154614580357,42.19853424816654,-0.34468456535533
2025-04-11,bitcoin,79596.36,-0.03730968328908742,41213520154.0,1580023209138.0,0.02608412326834396,0.047256240190220074,37.51744159988012,-0.368683692893401
2025-04-12,bitcoin,83439.29,0.04715093838643795,39813566444.0,1655868880454.0,0.024043912482420746,0.05135725331965232,48.541314880560215,-0.3382036008883249
2025-04-13,bitcoin,85305.1,0.02211494014244117,22428929482.0,1693600655371.0,0.01324334010551426,0.05204176754004152,54.13832980373457,-0.32340498096446696
2025-04-14,bitcoin,83600.82,-0.02018091303542195,28731125718.0,1658923208082.0,0.01731914146358716,0.04406225142612896,51.879340663190824,-0.33692243020304563
2025-04-15,bitcoin,84523.45,0.010975682000928,33155578229.0,1677843510120.0,0.019760828723906856,0.04405118382496467,52.96599036292258,-0.3296046161167513
2025-04-16,bitcoin,83656.49,-0.01031000105633128,25084671428.0,1660749023283.0,0.015104432443628447,0.040444210003217386,47.530827565528114,-0.33648088515228425
2025-04-17,bitcoin,84105.78,0.005356282722786029,26948109142.0,1670497569762.0,0.016131785900077283,0.02805282492179433,52.65394764966601,-0.3329173540609137
2025-04-18,bitcoin,84930.91,0.009762810118369696,19323821375.0,1686226810049.0,0.011459799630654946,0.02186763223530211,52.95052380430745,-0.32637285850253805
2025-04-19,bitcoin,84433.75,-0.005870899253551167,9550691273.0,1676373197915.0,0.005697234532787051,0.014500103311996113,50.97766104837318,-0.33031606916243655
2025-04-20,bitcoin,85126.66,0.008173061826560636,12635983531.0,1690090596771.0,0.007476512534382275,0.011962951145106876,52.5353604247458,-0.3248202728426396
2025-04-21,bitcoin,85073.17,-0.0006285552901090638,12625843856.0,1689008667806.0,0.007475298437870544,0.008255132441986952,63.80205724713156,-0.32524452728426395
2025-04-22,bitcoin,87452.05,0.02757893343304569,40070025414.0,1735703747771.0,0.02308575150883792,0.012428564418318366,65.74650456667592,-0.30637650697969543
2025-04-23,bitcoin,93576.17,0.06768511389520314,53841992235.0,1858587811718.0,0.02896930233564307,0.025078940498722533,79.1903049439316,-0.257803220177665
2025-04-24,bitcoin,93605.45,0.0003128512322824289,39901515880.0,1858660302322.0,0.021467890517783996,0.025504788724059688,73.59085652622916,-0.2575709866751269
2025-04-25,bitcoin,93872.81,0.002852172633192777,30031246761.0,1864298110563.0,0.01610860762602546,0.025885194773900406,84.78628163524483,-0.2554504282994924
2025-04-26,bitcoin,94773.11,0.009544938318367457,39336184715.0,1882121595176.0,0.020899916783177663,0.024501849478591624,82.23938421627527,-0.24830972398477158
2025-04-27,bitcoin,94644.07,-0.0013624954184453214,15445392740.0,1879131951239.0,0.00821942957747918,0.02529438510200686,79.47752737703772,-0.24933320114213192
2025-04-28,bitcoin,93809.34,-0.00885879920146249,15926259371.0,1862772247122.0,0.008549761998873568,0.026320020227980977,84.0936780288659,-0.25595383883248735
2025-04-29,bitcoin,95030.61,0.012934625612364286,31913814737.0,1887067388174.0,0.016911857486913096,0.025630506496620777,84.40476439955151,-0.24626736992385787
2025-04-30,bitcoin,94256.36,-0.008180746070651864,25882629766.0,1870818389258.0,0.013834923750276751,0.008230117220893913,84.92035097359785,-0.2524083121827411
2025-05-01,bitcoin,94235.75,-0.00021868289428280953,26541700309.0,1871350362569.0,0.014183180680588006,0.008240332366303966,84.34230394486767,-0.25257177982233503
2025-05-02,bitcoin,96426.95,0.022986105597772918,30207566405.0,1914884389769.0,0.01577513847122857,0.011769511622089389,85.66964119494116,-0.23519233819796956
2025-05-03,bitcoin,96855.57,0.00443517295414512,23276376191.0,1923251765866.0,0.012102615270715291,0.01151198794411034,88.7067604134597,-0.2317927506345177
2025-05-04,bitcoin,95922.87,-0.009676468776228693,13797554864.0,1904894886395.0,0.007243210616262283,0.0124411177350434,83.14598255540844,-0.23919043464467007
2025-05-05,bitcoin,94326.62,-0.016780990673983674,14903122946.0,1872812442453.0,0.007957616367862212,0.013863769279706955,75.95112574676315,-0.25185104695431476
2025-05-06,bitcoin,94758.82,0.004571486336479482,24086456278.0,1882511286488.0,0.012794853582490613,0.012974118693530762,73.00340701665348,-0.24842306472081213
2025-05-07,bitcoin,96854.53,0.02187523541858926,23348052607.0,1923643840815.0,0.012137409281079814,0.014816159967163508,63.828634869642066,-0.23180099936548224
2025-05-08,bitcoin,97026.49,0.0017738718838088317,64376174032.0,1927134557858.0,0.03340512667862372,0.014743150004607717,64.2588486354012,-0.2304371034263959
2025-05-09,bitcoin,103076.28,0.06048526265414725,50020047721.0,2047883753853.0,0.02442523782264963,0.025562674112632234,75.88351858382785,-0.18245336294416245
2025-05-10,bitcoin,102962.54,-0.0011040638997416542,40800894903.0,2045046445524.0,0.01995108472587557,0.025830869011185115,74.09779973834847,-0.18335548857868025
2025-05-11,bitcoin,104630.88,0.016073495189037165,21558992540.0,2077132539531.0,0.0103792088996246,0.024574906072497817,76.94568723197467,-0.17012309644670048
2025-05-12,bitcoin,103994.06,-0.006104945821672599,27389436049.0,2065659960471.0,0.013259411797261547,0.02272256095566745,77.77631718180848,-0.17517401649746195
2025-05-13,bitcoin,102876.83,-0.01080133470822069,43090605819.0,2044347271866.0,0.0210779285946211,0.024455573031544508,71.52076149433165,-0.1840352950507614
2025-05-14,bitcoin,104184.49,0.012630822454335798,33861432520.0,2069356072124.0,0.016363270186384317,0.024063661072370585,76.45690975188705,-0.1736636262690355
2025-05-15,bitcoin,103594.43,-0.00567970597046992,28398245847.0,2057798367293.0,0.013800305364396526,0.024667438301791234,74.20480150297834,-0.17834367068527923
2025-05-16,bitcoin,103708.85,0.0011038900264299567,31823340473.0,2060142559914.0,0.015447154528145109,0.010009855990595071,71.10022891252058,-0.17743615164974616
2025-05-17,bitcoin,103556.03,-0.0014746350437457665,25887953182.0,2057725640290.0,0.012580857561920428,0.010023032230615484,69.73079618603381,-0.17864823921319797
2025-05-18,bitcoin,103212.36,-0.003324205566165561,18950056010.0,2050318521478.0,0.00924249369621828,0.007456109888768758,72.23670539398321,-0.18137404822335024
2025-05-19,bitcoin,106030.64,0.026939495629254108,30744060180.0,2104889720873.0,0.014606019438989395,0.012877054419297129,83.22608118005748,-0.15902093908629442
